Wavelength (nm),Absorbance
162.4180,3.703814
162.5644,3.710070
162.7108,3.716085
162.8571,3.721979
162.8571,3.721979
163.3675,3.761272
163.8777,3.800517
164.3880,3.839657
164.8982,3.878643
164.8982,3.878643
165.8329,3.955732
166.3493,3.999784
166.6163,4.023152
166.8029,4.038185
166.8029,4.038185
166.8529,4.046731
166.9010,4.055036
166.9454,4.063223
166.9454,4.063223
167.0161,4.065724
167.0832,4.067988
167.1484,4.070130
167.1484,4.070130
167.9828,4.139168
168.5913,4.189670
169.0232,4.225873
169.3280,4.252017
169.5551,4.272341
169.7539,4.291084
169.9739,4.312489
169.9739,4.312489
170.0552,4.315669
170.1365,4.318728
170.2177,4.321546
170.2177,4.321546
170.8198,4.369550
171.0924,4.392830
171.2689,4.411344
171.2689,4.411344
171.3504,4.415071
171.4317,4.418678
171.5130,4.422043
171.5130,4.422043
172.4892,4.496568
173.2492,4.554029
173.8178,4.596693
174.2200,4.626816
174.4807,4.646669
174.6248,4.658509
174.6770,4.664602
174.6770,4.664602
175.0359,4.683943
175.3947,4.703281
175.7535,4.722622
175.7535,4.722622
175.7702,4.726439
175.7851,4.730256
175.7963,4.734076
175.7963,4.734076
175.9471,4.740896
176.1021,4.750874
176.3019,4.760931
176.3019,4.760931
176.5188,4.775550
176.6253,4.784808
176.7127,4.796639
176.7127,4.796639
176.7830,4.797500
176.8497,4.798122
176.9146,4.798625
176.9146,4.798625
176.9614,4.802409
177.0046,4.806197
177.0460,4.809986
177.0460,4.809986
177.3546,4.820579
177.6096,4.832078
177.8264,4.840938
177.8264,4.840938
178.0979,4.840661
178.3659,4.840388
178.6320,4.840117
178.6320,4.840117
179.0084,4.832051
179.2365,4.825471
179.4574,4.819024
179.4574,4.819024
179.5364,4.811847
179.6154,4.804792
179.6945,4.797982
179.6945,4.797982
179.8755,4.791653
180.0006,4.784288
180.1175,4.779486
180.1175,4.779486
180.2588,4.759918
180.3364,4.751608
180.4166,4.747432
180.4166,4.747432
180.5188,4.723809
180.6950,4.694395
180.9278,4.653853
180.9278,4.653853
181.0161,4.643147
181.1318,4.620047
181.3528,4.566971
181.7566,4.466344
181.7566,4.466344
181.8788,4.431490
181.9939,4.399242
182.1055,4.368482
182.2169,4.338087
182.3317,4.306934
182.4535,4.273906
182.5857,4.237877
182.7317,4.197731
182.8953,4.152342
183.0797,4.100592
183.2886,4.041359
183.5253,3.973523
183.5253,3.973523
183.7039,3.911889
183.8025,3.885249
183.9056,3.870771
183.9056,3.870771
183.9287,3.854992
183.9613,3.838915
184.0198,3.817279
184.1204,3.784819
184.2795,3.736268
184.5134,3.666363
184.8383,3.569844
184.8383,3.569844
185.2089,3.483038
185.4083,3.439833
185.6073,3.403196
185.6073,3.403196
185.6863,3.397096
185.7634,3.390996
185.8370,3.384900
185.8370,3.384900
185.8711,3.367915
185.9017,3.351056
185.9306,3.334441
185.9306,3.334441
186.1138,3.318076
186.3202,3.292929
186.4170,3.274828
186.4170,3.274828
186.5910,3.260033
186.7651,3.245481
186.9392,3.231052
186.9392,3.231052
187.0429,3.227823
187.1449,3.224840
187.2434,3.221983
187.2434,3.221983
187.3644,3.222791
187.4854,3.223357
187.6064,3.223801
187.6064,3.223801
187.6315,3.229230
187.6547,3.234538
187.6744,3.239606
187.6744,3.239606
188.0930,3.248466
188.5080,3.257207
188.9211,3.265708
188.9211,3.265708
189.1225,3.265503
189.3239,3.265297
189.5253,3.265092
189.5253,3.265092
189.7987,3.261223
189.9878,3.256347
190.2544,3.246285
190.2544,3.246285
190.4494,3.223865
190.7998,3.191676
191.0429,3.167748
191.0429,3.167748
191.1689,3.165432
191.2914,3.163118
191.4120,3.160805
191.4120,3.160805
191.5070,3.167641
191.5608,3.175250
191.6200,3.190153
191.6200,3.190153
191.7009,3.193334
191.7801,3.196395
191.8557,3.199219
191.8557,3.199219
191.9391,3.209797
192.2117,3.233077
192.9069,3.289016
192.9069,3.289016
193.0332,3.287812
193.1559,3.286734
193.2769,3.285902
193.2769,3.285902
193.5853,3.260569
193.8919,3.235481
194.1950,3.210520
194.1950,3.210520
194.3078,3.210405
194.4206,3.210290
194.5334,3.210175
194.5334,3.210175
194.7072,3.226804
194.9086,3.247177
195.0761,3.259436
195.0761,3.259436
195.2068,3.278440
195.3339,3.297327
195.4592,3.315973
195.4592,3.315973
195.5163,3.319037
195.5734,3.321859
195.6304,3.324557
195.6304,3.324557
195.6780,3.332174
195.7220,3.339793
195.7643,3.347413
195.7643,3.347413
195.9679,3.351826
196.1083,3.353388
196.3056,3.353431
196.3056,3.353431
196.4168,3.349138
196.5611,3.340194
196.8620,3.318925
196.8620,3.318925
197.0943,3.311123
197.3010,3.301406
197.6595,3.281436
197.6595,3.281436
197.8570,3.276692
198.0050,3.275407
198.1883,3.267759
198.2306,3.276475
198.2306,3.276475
198.3246,3.265978
198.4481,3.287038
198.4591,3.264199
198.5901,3.262423
198.6619,3.297363
198.8740,3.307568
198.8740,3.307568
198.9669,3.317590
199.1427,3.329473
199.3494,3.343760
199.3494,3.343760
199.5507,3.344486
199.7502,3.344972
199.9460,3.345341
199.9460,3.345341
200.0499,3.342660
200.1520,3.340224
200.2506,3.337915
200.2506,3.337915
200.6948,3.310152
200.8738,3.297623
200.9410,3.289587
200.9410,3.289587
201.4054,3.262697
201.8761,3.231664
202.1656,3.215535
202.1656,3.215535
202.4388,3.222920
202.7084,3.230307
202.9763,3.237700
202.9763,3.237700
203.0643,3.235034
203.1524,3.232613
203.2406,3.230314
203.2406,3.230314
203.5911,3.191820
203.7888,3.166621
203.9244,3.152434
203.9244,3.152434
204.0763,3.121096
204.2246,3.089886
204.3712,3.058920
204.3712,3.058920
204.4397,3.051896
204.5048,3.045118
204.5681,3.038466
204.5681,3.038466
204.5794,3.027525
204.5871,3.016712
204.5932,3.006143
204.5932,3.006143
204.7106,2.978772
204.8420,2.942374
205.0029,2.896198
205.2090,2.839492
205.4761,2.771503
205.4761,2.771503
205.6024,2.729293
205.7280,2.687084
205.8531,2.644876
205.9777,2.602666
206.1019,2.560458
206.2258,2.518251
206.3496,2.476044
206.4733,2.433835
206.4733,2.433835
206.5099,2.427610
206.5463,2.411584
206.5993,2.373839
206.6853,2.302454
206.8213,2.185507
206.8213,2.185507
206.8692,2.179398
206.9105,2.167576
206.9805,2.139911
